Grid_ID,Lon,Lat,Event_Type,Delta_Total_mean_ScenarioSpecific,Delta_HA_mean_ScenarioSpecific,Delta_CC_mean_ScenarioSpecific,Delta_Total_mean_CommonReference,Delta_HA_mean_CommonReference,Delta_CC_mean_CommonReference
1259,125.25,49.75,Drought,-0.3899381902751251,-0.1215764302010902,-0.268361760074035,-0.3286211611466677,0.0372088463826753,-0.3658300075293431
1260,125.75,49.75,Drought,-0.3588977703212402,-0.0365867847316997,-0.3223109855895406,-0.1097057758201439,0.043841387929394,-0.1535471637495379
1261,126.25,49.75,Drought,-0.32170194126482,0.0319705561559228,-0.3536724974207428,-0.1947166346126721,0.0273306973601146,-0.2220473319727867
1262,126.75,49.75,Drought,-0.26255988296833,0.0365238966371102,-0.2990837796054402,-0.1952604902773098,-0.0046912899472265,-0.1905692003300833
1263,127.25,49.75,Drought,-0.31950256790177,0.0085239188103738,-0.3280264867121439,-0.2126899335934135,0.0472882680769619,-0.2599782016703754
1370,116.75,49.25,Drought,0.0008449700559955,-0.0110178126698776,0.0118627827258732,-1.0338297202351765,-0.1812520205978601,-0.8525776996373163
1371,117.25,49.25,Drought,0.1301281213910671,0.0128515415644128,0.1172765798266542,-0.3061458806156475,-0.0059569478292752,-0.3001889327863722
1372,117.75,49.25,Drought,0.4054807789556738,0.0695423188190787,0.3359384601365951,-0.4016520145376941,-0.3334349980937857,-0.0682170164439085
1373,118.25,49.25,Drought,0.0779038552989171,-0.0140453435378728,0.09194919883679,-0.2958395381998036,-0.0397259970267245,-0.2561135411730791
1374,118.75,49.25,Drought,-0.0068710455937573,0.0738461538461538,-0.0807171994399112,-0.1470487153876344,0.0720858065187961,-0.2191345219064306
1375,119.25,49.25,Drought,-0.0481553063701011,0.0336889387984278,-0.0818442451685289,-0.374541212091163,-0.0861902895410613,-0.2883509225501017
1376,119.75,49.25,Drought,-0.0303250320282045,0.1275129190894812,-0.1578379511176857,-0.1601227333344423,0.2602401365845107,-0.420362869918953
1377,120.25,49.25,Drought,0.0203852448228767,0.1455433370453653,-0.1251580922224885,-0.1045229959481331,-0.0245098351729784,-0.0800131607751546
1378,120.75,49.25,Drought,-0.1091256189824193,0.1070371004747083,-0.2161627194571276,-0.1477640644847285,-0.0374562693773836,-0.1103077951073448
1379,121.25,49.25,Drought,-0.4113585775197964,0.0628096743466741,-0.4741682518664705,-0.365372350624615,0.0275573969458275,-0.3929297475704425
1380,121.75,49.25,Drought,-0.2705399003851586,0.0070996756974474,-0.2776395760826061,-0.3575807736955624,-0.0079577956925345,-0.3496229780030279
1381,122.25,49.25,Drought,-0.1588033938471449,0.0085715067141019,-0.1673749005612468,-0.1656793250609099,-0.0024778859205893,-0.1632014391403206
1382,122.75,49.25,Drought,-0.1109050418379953,-0.0220318549002599,-0.0888731869377354,-0.1945830431220995,-0.0037923843268876,-0.1907906587952118
1383,123.25,49.25,Drought,-0.3313038166226244,0.0012592410160689,-0.3325630576386933,-0.1719406170062873,-0.0109789896084902,-0.1609616273977971
